gym,year,totals,classtype,count,ward
Ward 12,1919,13718,schoolboys,4863,12
Ward 12,1920,15388,schoolboys,560,12
Ward 12,1921,18318,schoolboys,8728,12
Ward 12,1922,22449,schoolboys,8631,12
Ward 12,1923,22692,schoolboys,9001,12
Ward 12,1924,18122,schoolboys,5937,12
Ward 16,1914,50063,schoolboys,9534,16
Ward 16,1915,49721,schoolboys,6435,16
Ward 16,1916,48606,schoolboys,8203,16
Ward 17,1916,14216,schoolboys,4647,17
Ward 17,1917,56818,schoolboys,15082,17
Ward 17,1918,48114,schoolboys,11927,17
Ward 17,1919,19190,schoolboys,5797,17
Ward 17,1920,29861,schoolboys,4600,17
Ward 17,1921,35771,schoolboys,8045,17
Ward 17,1922,42634,schoolboys,8920,17
Ward 17,1923,39102,schoolboys,6680,17
Ward 17,1924,33717,schoolboys,5404,17
Ward 3,1914,17712,schoolboys,3450,3
Ward 3,1915,17712,schoolboys,3450,3
Ward 3,1916,16976,schoolboys,3219,3
Ward 4,1917,18643,schoolboys,5085,4
Ward 4,1918,14879,schoolboys,4128,4
Ward 4,1919,5593,schoolboys,1512,4
Ward 4,1920,9047,schoolboys,1054,4
Ward 4,1921,8036,schoolboys,1860,4
Ward 4,1922,12860,schoolboys,2200,4
Ward 4,1923,11687,schoolboys,2140,4
Ward 4,1924,11702,schoolboys,1689,4
Ward 5,1917,19026,schoolboys,8349,5
Ward 5,1918,13257,schoolboys,6174,5
Ward 5,1919,9865,schoolboys,3323,5
Ward 5,1920,10413,schoolboys,2374,5
Ward 5,1921,2247,schoolboys,571,5
Ward 5,1922,14232,schoolboys,4585,5
Ward 5,1923,13740,schoolboys,4900,5
Ward 5,1924,14140,schoolboys,4878,5
Ward 6,1923,8282,schoolboys,2796,6
Ward 6,1924,3167,schoolboys,907,6
Ward 7,1914,15425,schoolboys,4173,7
Ward 7,1915,13042,schoolboys,3852,7
Ward 7,1916,4015,schoolboys,1709,7
Ward 9,1914,10812,schoolboys,3718,9
Ward 9,1915,14725,schoolboys,5036,9
Ward 9,1916,18992,schoolboys,5877,9
Cabot Street Gymnasium,1914,38005,workingboys,3175,18
Cabot Street Gymnasium,1915,29567,workingboys,3636,18
Cabot Street Gymnasium,1916,24618,workingboys,3897,18
Cabot Street Gymnasium,1917,37082,workingboys,3804,18
Cabot Street Gymnasium,1918,33193,workingboys,2755,18
Cabot Street Gymnasium,1919,10500,workingboys,1487,18
Cabot Street Gymnasium,1920,12053,workingboys,1847,18
Cabot Street Gymnasium,1921,10615,workingboys,1185,18
Cabot Street Gymnasium,1922,25442,workingboys,2176,18
Cabot Street Gymnasium,1923,21073,workingboys,2445,18
Cabot Street Gymnasium,1924,22754,workingboys,3047,18
Cabot Street Gymnasium,1925,10465,workingboys,705,18
Curtis Hall Gymnasium,1914,43240,workingboys,6185,22
Curtis Hall Gymnasium,1915,33415,workingboys,5205,22
Curtis Hall Gymnasium,1916,29265,workingboys,4180,22
Curtis Hall Gymnasium,1917,31240,workingboys,4380,22
Curtis Hall Gymnasium,1918,19833,workingboys,2328,22
Curtis Hall Gymnasium,1919,7228,workingboys,916,22
Curtis Hall Gymnasium,1920,9312,workingboys,1820,22
Curtis Hall Gymnasium,1921,17848,workingboys,2017,22
Curtis Hall Gymnasium,1922,7770,workingboys,1350,22
Curtis Hall Gymnasium,1923,15623,workingboys,3009,22
Curtis Hall Gymnasium,1924,16102,workingboys,1516,22
Curtis Hall Gymnasium,1925,16830,workingboys,1926,22
D Street Gymnasium,1914,18359,workingboys,2193,13
D Street Gymnasium,1915,21740,workingboys,3578,13
D Street Gymnasium,1916,24228,workingboys,2847,13
D Street Gymnasium,1917,25159,workingboys,3652,13
D Street Gymnasium,1918,22956,workingboys,3955,13
D Street Gymnasium,1919,5821,workingboys,1660,13
D Street Gymnasium,1920,0,workingboys,0,13
D Street Gymnasium,1921,25818,workingboys,3031,13
D Street Gymnasium,1922,17697,workingboys,3515,13
East Boston Gymnasium,1914,33227,workingboys,3566,2
East Boston Gymnasium,1915,32184,workingboys,5589,2
East Boston Gymnasium,1916,27781,workingboys,3394,2
East Boston Gymnasium,1917,21709,workingboys,2911,2
East Boston Gymnasium,1918,19837,workingboys,1770,2
East Boston Gymnasium,1920,8348,workingboys,447,2
East Boston Gymnasium,1921,20185,workingboys,517,2
East Boston Gymnasium,1922,23296,workingboys,1318,2
East Boston Gymnasium,1923,24539,workingboys,1204,2
East Boston Gymnasium,1924,10361,workingboys,731,2
North Bennet Street,1914,26513,workingboys,1502,6
North Bennet Street,1915,19566,workingboys,1019,6
North Bennet Street,1916,18888,workingboys,1520,6
North Bennet Street,1917,19855,workingboys,1863,6
North Bennet Street,1918,13337,workingboys,789,6
North Bennet Street,1920,5410,workingboys,265,6
North Bennet Street,1921,23150,workingboys,1445,6
North Bennet Street,1922,31040,workingboys,2600,6
North Bennet Street,1923,29383,workingboys,1895,6
North Bennet Street,1924,25438,workingboys,1533,6
North Bennet Street,1925,5370,workingboys,415,6
Roslindale Gymnasium,1919,4340,workingboys,291,24
Roslindale Gymnasium,1920,13536,workingboys,1667,24
Roslindale Gymnasium,1921,24313,workingboys,2679,24
Roslindale Gymnasium,1922,25055,workingboys,3771,24
Roslindale Gymnasium,1923,24835,workingboys,3363,24
Roslindale Gymnasium,1924,22364,workingboys,3660,24
Roslindale Gymnasium,1925,12783,workingboys,2585,24
Ward 6,1917,12576,workingboys,1140,6
Ward 6,1918,7222,workingboys,600,6
Ward 6,1919,3065,workingboys,237,6
Ward 6,1921,1134,workingboys,304,6
Ward 6,1922,5107,workingboys,834,6
Ward 12,1917,31817,workingboys,2149,12
Ward 12,1918,28404,workingboys,1190,12
Ward 12,1919,13718,workingboys,355,12
Ward 12,1920,15388,workingboys,560,12
Ward 12,1921,18318,workingboys,1260,12
Ward 12,1922,22449,workingboys,1782,12
Ward 12,1923,22692,workingboys,3136,12
Ward 12,1924,18122,workingboys,3448,12
Ward 16,1914,50063,workingboys,6661,16
Ward 16,1915,49721,workingboys,9029,16
Ward 16,1916,48606,workingboys,6509,16
Ward 17,1916,14216,workingboys,609,17
Ward 17,1917,56818,workingboys,6051,17
Ward 17,1918,48114,workingboys,2724,17
Ward 17,1919,19190,workingboys,1360,17
Ward 17,1920,29861,workingboys,4600,17
Ward 17,1921,35771,workingboys,5094,17
Ward 17,1922,42634,workingboys,8330,17
Ward 17,1923,39102,workingboys,6255,17
Ward 17,1924,33717,workingboys,6555,17
Ward 3,1914,17712,workingboys,1775,3
Ward 3,1915,17712,workingboys,1775,3
Ward 3,1916,16976,workingboys,2070,3
Ward 4,1917,18643,workingboys,1552,4
Ward 4,1918,14879,workingboys,1017,4
Ward 4,1919,5593,workingboys,571,4
Ward 4,1920,9047,workingboys,1054,4
Ward 4,1921,8036,workingboys,900,4
Ward 4,1922,12860,workingboys,1341,4
Ward 4,1923,11687,workingboys,1356,4
Ward 4,1924,11702,workingboys,1578,4
Ward 5,1917,19026,workingboys,1285,5
Ward 5,1918,13257,workingboys,297,5
Ward 5,1919,9865,workingboys,470,5
Ward 5,1920,10413,workingboys,2374,5
Ward 5,1921,2247,workingboys,213,5
Ward 5,1922,14232,workingboys,849,5
Ward 5,1923,13740,workingboys,892,5
Ward 5,1924,14140,workingboys,1139,5
